restaurant_id,restaurant_name,City,primary_cuisine,price_level,rating,num_reviews,ranking,popularity_score,avg_city_pressure,peak_city_pressure
d6953091,"Alentejo - Pao, azeite e alho",Lisbon,European,1.0,3.0,62.0,3457.0,0.3355730476735485,71.93915752520559,97.65516301344215
d8117001,Onda de SAbores 2,Lisbon,European,1.0,3.0,60.0,3458.0,0.33412808992112264,71.93915752520559,97.65516301344215
d12966638,Pastelaria Londres,Lisbon,Unknown,1.0,3.0,2.0,3459.0,0.1992117978195602,71.93915752520559,97.65516301344215
d7187503,Acepipe & Piteu,Lisbon,European,1.0,3.0,5.0,3460.0,0.23025716098635252,71.93915752520559,97.65516301344215
d12878705,Hanaya Chiado,Lisbon,Japanese,1.0,3.5,11.0,3461.0,0.29880252416763387,71.93915752520559,97.65516301344215
d12323194,Restaurante Bar Tradicao da Baixa,Lisbon,Unknown,1.0,3.0,8.0,3462.0,0.24841749882399455,71.93915752520559,97.65516301344215
d6750995,Espaco Academico de Lisboa,Lisbon,European,1.0,3.5,13.0,3463.0,0.30570673315547797,71.93915752520559,97.65516301344215
d8331936,Pastelaria Dourado,Lisbon,Unknown,1.0,3.0,10.0,3464.0,0.2574052941076037,71.93915752520559,97.65516301344215
d9761892,Sr. Bacalhau,Lisbon,European,1.0,3.0,33.0,3465.0,0.307948130479636,71.93915752520559,97.65516301344215
d7397994,Adega Triunfo,Lisbon,European,1.0,3.0,34.0,3466.0,0.30924642908379335,71.93915752520559,97.65516301344215
d2020565,Tasca do Manel,Lisbon,Unknown,1.0,4.0,18.0,3467.0,0.3568843803279162,71.93915752520559,97.65516301344215
d10201222,Sabores Da Baixa,Lisbon,Seafood,1.0,3.0,72.0,3468.0,0.3421713030680375,71.93915752520559,97.65516301344215
d12543832,BENI's,Lisbon,Italian,1.0,3.0,7.0,3469.0,0.24314193627648822,71.93915752520559,97.65516301344215
d5963219,Magnetic,Lisbon,Bar,1.0,3.0,60.0,3470.0,0.3341277898218845,71.93915752520559,97.65516301344215
d2363172,El Carpaccio,Lisbon,Italian,1.0,3.0,131.0,3471.0,0.36870167206433074,71.93915752520559,97.65516301344215
d6677139,Pastel do Fado,Lisbon,Mediterranean,1.0,3.0,327.0,3472.0,0.4094691435324968,71.93915752520559,97.65516301344215
d6549997,Cadete,Lisbon,Portuguese,1.0,3.0,102.0,3473.0,0.3575906767604413,71.93915752520559,97.65516301344215
d3203784,O Lirio,Lisbon,Mediterranean,1.0,3.0,120.0,3474.0,0.3648044424361595,71.93915752520559,97.65516301344215
d7285802,Atlantica Cafetaria,Lisbon,Seafood,1.0,2.5,14.0,3475.0,0.2337965575498346,71.93915752520559,97.65516301344215
d6979515,Wok Oriental,Lisbon,Chinese,1.0,3.0,108.0,3476.0,0.36012650739783053,71.93915752520559,97.65516301344215
